scorer,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima
bodyparts,nose,nose,rightear,rightear,leftear,leftear,TailBase,TailBase,TailTip,TailTip
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/WIN_20210727_21_53_02_Pro/img006.png,,,,,,,,,,
labeled-data/WIN_20210727_21_53_02_Pro/img041.png,,,,,,,,,,
labeled-data/WIN_20210727_21_53_02_Pro/img114.png,,,,,,,,,,
labeled-data/WIN_20210727_21_53_02_Pro/img123.png,,,,,,,,,,
labeled-data/WIN_20210727_21_53_02_Pro/img205.png,965.1812271110878,769.9580860888486,915.9609097181681,705.7576720980838,973.7412823098564,675.7974789023937,924.5209649169367,607.3170373122445,,
labeled-data/WIN_20210727_21_53_02_Pro/img214.png,791.8401093360228,742.1379066928506,826.0803301310973,665.0974099039328,864.6005785255563,695.0576030996231,898.8407993206308,615.8770925110131,892.4207579215542,525.9965129239424
labeled-data/WIN_20210727_21_53_02_Pro/img241.png,1050.7817790987742,714.3177272968525,980.161323708933,748.5579480919271,978.0213099092407,682.2175203014701,862.4605647258641,673.6574651027015,836.7803991295582,545.2566371211718
labeled-data/WIN_20210727_21_53_02_Pro/img274.png,,,864.6005785255563,821.3184172814606,975.8812961095487,643.6972719070112,,,,
labeled-data/WIN_20210727_21_53_02_Pro/img303.png,1095.7220688923096,844.8585690780743,973.7412823098564,823.4584310811526,909.5408683190917,671.5174513030094,,,,
labeled-data/WIN_20210727_21_53_02_Pro/img328.png,,,,,,,,,,
labeled-data/WIN_20210727_21_53_02_Pro/img369.png,1147.0824000849216,705.7576720980838,1087.162013693541,782.7981688870017,1042.2217239000056,716.4577410965446,856.0405233267875,729.2978238946976,,
labeled-data/WIN_20210727_21_53_02_Pro/img449.png,1033.661668701237,650.1173133060877,1055.0618066981585,701.4776444986995,986.5813651080093,669.3774375033172,860.320550926172,870.5387346743803,657.0192399554167,859.8386656759194
labeled-data/WIN_20210727_21_53_02_Pro/img459.png,999.4214479061625,660.8173823045485,1016.5415583036997,703.6176582983917,945.9211029138582,686.4975479008544,864.6005785255563,885.5188312722254,1012.2615307043154,960.4193142614511
labeled-data/WIN_20210727_21_53_02_Pro/img482.png,864.6005785255563,682.2175203014701,894.5607717212465,673.6574651027015,841.0604267289425,712.1777134971603,1005.8414893052388,844.8585690780743,,
labeled-data/WIN_20210727_21_53_02_Pro/img521.png,,,,,,,,,,
labeled-data/WIN_20210727_21_53_02_Pro/img623.png,995.141420306778,309.8551191550341,990.8613927073936,418.9958229393344,930.9410063160133,395.4556711427206,954.4811581126271,551.6766785202483,873.160633724325,665.0974099039328
labeled-data/WIN_20210727_21_53_02_Pro/img658.png,1059.3418342975428,359.0754365479538,1033.661668701237,461.7960989331775,990.8613927073936,431.83590573748734,965.1812271110878,534.556568122711,789.7000955363305,525.9965129239424
labeled-data/WIN_20210727_21_53_02_Pro/img684.png,1159.9224828830745,324.8352157528793,1089.3020274932333,391.17564354333626,1059.3418342975428,346.2353537498009,924.5209649169367,446.8160023353324,828.2203439307896,549.5366647205561
labeled-data/WIN_20210727_21_53_02_Pro/img694.png,1155.6424552836902,264.91482936149873,1093.5820550926176,339.8153123507244,993.0014065070859,444.6759885356403,963.0412133113957,547.396650920864,,
labeled-data/WIN_20210727_21_53_02_Pro/img718.png,1082.8819860941567,153.6341117775064,1076.46194469508,279.89492595934394,1012.2615307043154,243.51469136457717,1012.2615307043154,410.43576774056567,866.7405923252484,508.87640252640506
