scorer,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM
bodyparts,nose,nose,rightear,rightear,leftear,leftear,righteye,righteye,lefteye,lefteye,canula,canula,tailstem,tailstem,tailtip,tailtip
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img00014.png,519.6372875202217,444.12339027512417,512.9976859304311,381.7111353310922,554.163215787133,396.9822189876106,518.3093672022635,419.55686439289883,537.5642118126564,428.1883464596266,596.6566659617931,310.6673983203324,566.1144986487561,197.79417129389162,,
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img02394.png,,,571.5776549722765,297.0040927263144,535.6009591333228,279.7352787236166,,,,,574.4557906393927,257.6695719423917,566.7807621937493,396.29977324182653,656.9623464300598,355.52618462434566
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img08077.png,505.032865199805,361.1139797244056,561.8497202137623,348.82925431598244,555.7073575095507,389.7783390107264,,,,,519.3650448429654,358.04279837229984,619.178438786404,296.10730777149945,534.2090880448101,241.33790699227936
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img22809.png,495.762944491134,433.0570171337545,514.3947780272425,367.0470926058272,565.499235726283,412.2958311935193,504.28035410764073,409.63414068836096,520.250497138591,426.1366218203428,620.862398233577,338.83317325114854,538.8823306746995,256.32076759123936,,
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img25628.png,,,558.6216029570312,358.41824298025824,544.1256269750918,397.2467500747387,,,,,515.1336750112131,360.4890966919638,602.6272443307757,323.21372988126257,535.3244987003429,262.64125881387304
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img25761.png,,,544.1014041290275,388.0160074028496,549.576881739639,429.53837928332007,,,,,503.9479016512099,411.28678724794844,630.3401764961584,337.8241293055776,587.9052250139193,270.7495285755869
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img34944.png,564.0484067306136,510.428323708931,532.1139705379553,441.7391590681189,577.9067469651634,440.53408600424507,550.1900664960638,485.7243258995161,574.2915277735417,486.92939896339,559.228114475118,467.6482299414077,584.5346488164698,350.1536062137029,521.2683129630902,271.2213205299627
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img37880.png,565.4854431970775,494.7030562044554,553.4200878852332,426.65445224565394,596.3727527953986,434.37627964523426,559.6940726473922,472.0201882181882,579.9638695712905,475.88110191797836,561.1419152848135,462.8505181811866,572.724656384184,331.09683817584767,517.2240219497005,416.51955378370474
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img38213.png,492.3107523804859,297.4979386877331,547.6037164568745,327.7300629309384,518.5649655390589,357.56439606568046,514.5870544544266,306.2493430739241,499.8687834412872,322.95656962937966,523.7362499490808,323.7521518463061,615.2282048956232,304.6581786400712,512.2003078036473,283.97304099998337
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img50573.png,671.6970935999198,447.60704590749083,623.1929027789955,398.631940612577,662.7497185941182,379.79536165299476,,,673.1098370218884,423.11949326003395,650.9768567443793,426.41589457796084,569.5086527441861,312.45459187248827,602.472665923455,409.9338879883264
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img60096.png,,,537.3688715164567,332.5402934113375,501.2225294694819,356.96349749713124,,,,,499.2686731426184,309.0940174889755,594.0307049954981,346.7057517810979,565.6997882559774,225.07819543384494
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img64801.png,679.1597366928594,216.2279282574623,649.1850066963068,282.0740564466107,616.2619426017325,250.62515940104728,671.2975124314685,242.27154612331952,653.1161188270022,228.02126464954858,655.0816748923498,251.60793743372116,557.786649657638,321.8765667699019,633.951947189862,350.3771297174438
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img65554.png,,,561.0097257895497,307.42774073405394,517.9693128407528,306.63800838636956,,,,,545.6099450097049,267.5462571759943,621.8191165612445,365.47306828885354,577.9889712647632,297.5560863879996
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img67635.png,463.38613826145297,420.8916875565626,495.19480226540594,358.12259058876214,525.3070041891481,407.74410643492877,,,486.28837634429914,420.4675720365099,476.5337193830869,404.3511822745071,598.2548736382134,327.1621576249146,471.86844866250715,307.2287281824374
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img68490.png,488.15079336503936,242.32776336673618,546.6787351323128,283.0955021149749,505.10371442866335,308.9285246881163,512.7728930050647,255.6479156310122,493.39812607520867,272.1971957169309,512.7728930050647,279.8663742933322,569.2826298838115,350.09990441406035,636.287032182897,302.06662806712563
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img72201.png,532.1481761858813,459.26133090769235,532.6044659867655,394.4681791821231,579.6023154778475,423.2144366378334,,,,,535.3422047920712,441.0097388723207,592.8347197034918,300.01619039907496,533.9733353894184,335.15050506716534
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img81964.png,,,554.4712055528607,276.6623424107383,511.79055956245327,277.4111256737279,,,,,536.8747988726051,239.9719625242477,550.7272892379127,373.62977496789205,575.4371369165697,285.27334993511874
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img89931.png,,,621.8409789850698,363.91489711752615,663.8547398818771,339.7958862323219,,,,,658.4085116174763,389.9789895257307,559.2093539444588,308.2855655597164,606.6693431056672,382.5876797383294
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img91759.png,452.7017279448447,322.7584345581495,510.82602873441283,310.64920522698947,501.5422862471902,353.0315078860495,,,,,465.2145982537101,320.74022966962275,581.8668408105516,376.44268459295887,575.8122261449716,289.2562334086067
labeled-data/Day1_PBS_7027_10_16_00_210810_default_25d2994e/img94260.png,,,601.6276098998807,346.6765609335798,632.7079651831914,321.24717933814384,,,,,637.8880243970765,366.4549688411412,529.106780905489,328.7818109219767,564.8962809286952,451.2195741592613
