scorer,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima,AyanoMatsushima
bodyparts,nose,nose,rightear,rightear,leftear,leftear,TailBase,TailBase,TailTip,TailTip
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/WIN_20210727_21_50_19_Pro/img0080.png,693.3994745501832,744.2779204925428,597.0988535640361,695.0576030996231,676.2793641526459,654.397340905472,712.6595987474127,489.61627832917566,,
labeled-data/WIN_20210727_21_50_19_Pro/img0312.png,,,,,,,,,,
labeled-data/WIN_20210727_21_50_19_Pro/img0322.png,939.5010615147819,213.554498168887,952.3411443129348,331.2552571519558,871.0206199246327,322.69520195318717,928.800992516321,391.17564354333626,791.8401093360228,498.1763335279443
labeled-data/WIN_20210727_21_50_19_Pro/img0435.png,1209.1428002759942,511.0164163260972,1121.4022344886155,493.89630592855997,1166.3425242821509,431.83590573748734,988.7213789077016,369.7755055464147,826.0803301310973,393.3156573430284
labeled-data/WIN_20210727_21_50_19_Pro/img0514.png,1136.3823310864607,192.1543601719652,1151.3624276843059,309.8551191550341,1082.8819860941567,288.45498115811256,1035.801682500929,401.87571254179704,858.1805371264797,391.17564354333626
labeled-data/WIN_20210727_21_50_19_Pro/img0603.png,,,,,,,,,,
labeled-data/WIN_20210727_21_50_19_Pro/img0643.png,633.4790881588028,564.5167613184012,712.6595987474127,577.3568441165543,723.3596677458736,521.7164853245581,879.5806751234013,519.576471524866,1007.9815031049311,442.5359747359481
labeled-data/WIN_20210727_21_50_19_Pro/img1001.png,1273.343214266759,534.556568122711,1177.0425932806118,613.7370787113209,1153.502441483998,551.6766785202483,1076.46194469508,645.8372857067034,980.161323708933,733.577851494082
labeled-data/WIN_20210727_21_50_19_Pro/img1047.png,1046.50175149939,468.216140332254,1089.3020274932333,461.7960989331775,1048.6417652990822,500.31634732763644,1177.0425932806118,667.2374237036249,1091.4420412929253,727.1578100950055
labeled-data/WIN_20210727_21_50_19_Pro/img1395.png,,,,,,,,,,
labeled-data/WIN_20210727_21_50_19_Pro/img1558.png,1110.7021654901548,630.8571891088583,1022.9615997027761,564.5167613184012,1076.46194469508,538.8365957220954,978.0213099092407,427.555878138103,,
labeled-data/WIN_20210727_21_50_19_Pro/img1837.png,483.6781221803515,331.2552571519558,590.6788121649595,397.59568494241273,526.4783981741948,451.09602993471674,691.2594607504911,519.576471524866,858.1805371264797,562.3767475187091
labeled-data/WIN_20210727_21_50_19_Pro/img1908.png,417.33769438989447,519.576471524866,554.2985775701927,466.07612653256183,554.2985775701927,536.6965819224032,689.1194469507989,523.8564991242503,802.5401783344835,577.3568441165543
labeled-data/WIN_20210727_21_50_19_Pro/img2061.png,470.8380393821985,575.2168303168621,586.3987845655752,553.8166923199404,562.8586327689616,496.0363197282521,686.9794331511068,543.1166233214797,768.299957539409,626.577161509474
labeled-data/WIN_20210727_21_50_19_Pro/img2197.png,,,284.65683880898047,613.7370787113209,291.07688020805705,725.0177962953134,575.6987155671145,568.7967889177856,639.8991295578792,560.2367337190169
labeled-data/WIN_20210727_21_50_19_Pro/img2244.png,,,,,,,,,,
labeled-data/WIN_20210727_21_50_19_Pro/img2250.png,,,,,,,,,,
labeled-data/WIN_20210727_21_50_19_Pro/img2268.png,,,,,,,,,,
labeled-data/WIN_20210727_21_50_19_Pro/img2274.png,,,,,,,,,,
labeled-data/WIN_20210727_21_50_19_Pro/img2365.png,,,,,,,,,,
